generation,space,flags,time
0,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]","['gcc', '-O1', '-fcrossjumping', '-foptimize-sibling-calls', '-fcse-follow-jumps', '-frerun-loop-opt', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-freorder-blocks', '-freorder-functions', '-funit-at-a-time', '-falign-loops', '-falign-labels', '-ftree-vrp', '-ftree-pre', '-fpeel-loops', '-fsplit-loops', '-fsplit-paths', '-ftree-loop-distribution', '-ftree-partial-pre', '-o', 'test_ex', 'simple.c']",0.82
0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]","['gcc', '-fgcse', '-fgcse-lm', '-fexpensive-optimizations', '-frerun-loop-opt', '-fpeephole2', '-fsched-interblock', '-fsched-spec', '-fregmove', '-fstrict-aliasing', '-fdelete-null-pointer-checks', '-freorder-blocks', '-falign-functions', '-falign-jumps', '-ftree-vrp', '-ftree-pre', '-fipa-cp-clone', '-floop-unroll-and-jam', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-ftree-partial-pre', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",1.15
0,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","['gcc', '-O1', '-fcse-follow-jumps', '-fgcse', '-frerun-cse-after-loop', '-frerun-loop-opt', '-fcaller-saves', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fstrict-aliasing', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-labels', '-fipa-cp-clone', '-floop-interchange', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-o', 'test_ex', 'simple.c']",0.56
0,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0]","['gcc', '-fcrossjumping', '-foptimize-sibling-calls', '-fexpensive-optimizations', '-frerun-cse-after-loop', '-frerun-loop-opt', '-fpeephole2', '-fschedule-insns', '-fsched-spec', '-fregmove', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-labels', '-fipa-cp-clone', '-floop-unroll-and-jam', '-fpredictive-commoning', '-fsplit-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-ftree-partial-pre', '-o', 'test_ex', 'simple.c']",1.23
0,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1]","['gcc', '-O1', '-fcrossjumping', '-fcse-follow-jumps', '-fcse-skip-blocks', '-fschedule-insns2', '-fsched-interblock', '-fsched-spec', '-fregmove', '-fstrict-aliasing', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-jumps', '-ftree-vrp', '-fipa-cp-clone', '-fpeel-loops', '-fsplit-loops', '-fsplit-paths', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.6
0,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-fcse-follow-jumps', '-fcse-skip-blocks', '-fexpensive-optimizations', '-fstrength-reduce', '-frerun-loop-opt', '-fcaller-saves', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-jumps', '-falign-loops', '-falign-labels', '-ftree-pre', '-fgcse-after-reload', '-fipa-cp-clone', '-floop-unroll-and-jam', '-fpeel-loops', '-fpredictive-commoning', '-fsplit-loops', '-fsplit-paths', '-ftree-loop-vectorize', '-ftree-partial-pre', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.59
0,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-foptimize-sibling-calls', '-fcse-skip-blocks', '-fexpensive-optimizations', '-frerun-cse-after-loop', '-fpeephole2', '-fschedule-insns', '-fsched-interblock', '-fsched-spec', '-funit-at-a-time', '-falign-labels', '-ftree-pre', '-floop-interchange', '-floop-unroll-and-jam', '-fsplit-loops', '-ftree-loop-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.57
0,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","['gcc', '-O1', '-fthread-jumps', '-foptimize-sibling-calls', '-fgcse', '-fstrength-reduce', '-frerun-loop-opt', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fsched-spec', '-fstrict-aliasing', '-freorder-blocks', '-falign-labels', '-ftree-pre', '-fipa-cp-clone', '-floop-interchange', '-floop-unroll-and-jam', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-ftree-partial-pre', '-ftree-slp-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.57
0 SUMMARY,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","['gcc', '-O1', '-fcse-follow-jumps', '-fgcse', '-frerun-cse-after-loop', '-frerun-loop-opt', '-fcaller-saves', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fstrict-aliasing', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-labels', '-fipa-cp-clone', '-floop-interchange', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-o', 'test_ex', 'simple.c']",0.56
1,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","['gcc', '-O1', '-fcse-follow-jumps', '-fgcse', '-frerun-cse-after-loop', '-frerun-loop-opt', '-fcaller-saves', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fstrict-aliasing', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-labels', '-fipa-cp-clone', '-floop-interchange', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-o', 'test_ex', 'simple.c']",0.62
1,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-foptimize-sibling-calls', '-fcse-skip-blocks', '-fexpensive-optimizations', '-frerun-cse-after-loop', '-fpeephole2', '-fschedule-insns', '-fsched-interblock', '-fsched-spec', '-funit-at-a-time', '-falign-labels', '-ftree-pre', '-floop-interchange', '-floop-unroll-and-jam', '-fsplit-loops', '-ftree-loop-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.52
1,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","['gcc', '-O1', '-fthread-jumps', '-foptimize-sibling-calls', '-fgcse', '-fstrength-reduce', '-frerun-loop-opt', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fsched-spec', '-fstrict-aliasing', '-freorder-blocks', '-falign-labels', '-ftree-pre', '-fipa-cp-clone', '-floop-interchange', '-floop-unroll-and-jam', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-ftree-partial-pre', '-ftree-slp-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.57
